y_round,x_round,distortion
12,56,1.8360291646773677
12,66,0.898894429125126
26,170,0.9543439218275465
33,101,13.453056414849804
36,128,0.7066707797436007
42,85,0.5140686086069356
53,32,0.012719553977184205
56,190,0.46595753899249237
62,92,0.9885696779839294
63,191,0.1921687600957764
66,58,0.7478337724635037
67,174,0.03499527289302634
76,52,0.6002594774546482
84,63,0.3474790196248215
90,43,0.2562585949979597
92,18,0.004961809110259412
93,28,0.07449452887032211
93,169,0.04658414663555245
94,148,0.1889599067110833
96,171,0.25296097830266123
99,101,0.051521155556679014
100,89,0.24420030154189898
102,122,0.35347844893040453
103,9,0.5780620830882848
104,76,0.3064404775958848
107,41,0.5911911917118573
107,54,0.3961266174545422
114,168,0.32162170946592505
119,83,0.5487962151457785
119,116,0.3313786515868399
123,175,0.5604710904659693
129,159,0.41412567007381057
130,70,0.6063069164642325
132,168,0.05830591929964424
133,181,0.16916109177886285
136,113,0.4317651059182195
137,34,0.06907858029168897
137,120,1.0910366868149792
140,28,0.004892616537935798
147,132,0.49658356013589766
151,59,0.43256659422020016
167,40,0.4385756581552049
168,78,1.0424100106934477
180,49,0.7069386865454852
184,141,0.78248083184695
188,91,0.0018243838276435485
191,139,1.8034577562268859
193,8,21.401442934613637
